alias,wbgene
aap-1,WBGene00000001
Y110A7A.10,WBGene00000001
aat-1,WBGene00000002
F27C8.1,WBGene00000002
aat-2,WBGene00000003
F07C3.7,WBGene00000003
aat-3,WBGene00000004
F52H2.2,WBGene00000004
aat-4,WBGene00000005
T13A10.10,WBGene00000005
aat-5,WBGene00000006
C55C2.5,WBGene00000006
aat-6,WBGene00000007
T11F9.4,WBGene00000007
aat-7,WBGene00000008
F54D12.3,WBGene00000008
aat-8,WBGene00000009
F28F9.4,WBGene00000009
aat-9,WBGene00000010
Y53H1C.1,WBGene00000010
abf-1,WBGene00000012
C50F2.9,WBGene00000012
abf-2,WBGene00000013
C50F2.10,WBGene00000013
abf-3,WBGene00000014
F54B8.5,WBGene00000014
abf-4,WBGene00000015
Y38H6C.22,WBGene00000015
abf-5,WBGene00000016
T22H6.5,WBGene00000016
abf-6,WBGene00000017
T22H6.7,WBGene00000017
abl-1,WBGene00000018
M79.1,WBGene00000018
abt-1,WBGene00000019
C24F3.5,WBGene00000019
abt-2,WBGene00000020
F12B6.1,WBGene00000020
abt-3,WBGene00000021
F55G11.9,WBGene00000021
abt-4,WBGene00000022
Y39D8C.1,WBGene00000022
abt-5,WBGene00000023
Y53C10A.9,WBGene00000023
abu-1,WBGene00000024
AC3.3,WBGene00000024
abu-2,WBGene00000025
F19G12.7,WBGene00000025
abu-3,WBGene00000026
F31A3.1,WBGene00000026
abu-4,WBGene00000027
Y5H2A.3,WBGene00000027
abu-5,WBGene00000028
Y105C5A.4,WBGene00000028
abu-6,WBGene00000029
C03A7.7,WBGene00000029
abu-7,WBGene00000030
C03A7.8,WBGene00000030
abu-8,WBGene00000031
C03A7.14,WBGene00000031
abu-9,WBGene00000032
R09F10.2,WBGene00000032
abu-10,WBGene00000033
F35A5.3,WBGene00000033
abu-11,WBGene00000034
T01D1.6,WBGene00000034
ace-1,WBGene00000035
W09B12.1,WBGene00000035
ace-2,WBGene00000036
Y44E3A.2,WBGene00000036
ace-3,WBGene00000037
Y48B6A.8,WBGene00000037
ace-4,WBGene00000038
Y48B6A.7,WBGene00000038
acn-1,WBGene00000039
